Subject,Date,Session,Trial,Condition
Coco,Oct 7 '22,1,1,Refresher
Coco,Oct 7 '22,1,2,Refresher
Coco,Oct 7 '22,1,3,Refresher
Coco,Oct 7 '22,1,4,Functional
Coco,Oct 7 '22,1,5,Non-functional
Coco,Oct 11 '22,2,1,Refresher
Coco,Oct 11 '22,2,2,Refresher
Coco,Oct 11 '22,2,3,Refresher
Coco,Oct 11 '22,2,4,Non-functional
Coco,Oct 11 '22,2,5,Functional
Coco,Oct 14 '22,3,1,Refresher
Coco,Oct 14 '22,3,2,Refresher
Coco,Oct 14 '22,3,3,Refresher
Coco,Oct 14 '22,3,4,Functional
Coco,Oct 14 '22,3,5,Non-functional
Coco,Oct 19 '22,4,1,Refresher
Coco,Oct 19 '22,4,2,Refresher
Coco,Oct 19 '22,4,3,Refresher
Coco,Oct 19 '22,4,4,Functional
Coco,Oct 19 '22,4,5,Non-functional
Coco,Oct 21 '22,5,1,Refresher
Coco,Oct 21 '22,5,2,Refresher
Coco,Oct 21 '22,5,3,Refresher
Coco,Oct 21 '22,5,4,Non-functional
Coco,Oct 21 '22,5,5,Functional
Coco,Oct 25 '22,6,1,Refresher
Coco,Oct 25 '22,6,2,Refresher
Coco,Oct 25 '22,6,3,Refresher
Coco,Oct 25 '22,6,4,Non-functional
Coco,Oct 25 '22,6,5,Functional
Coco,Oct 28 '22,7,1,Refresher
Coco,Oct 28 '22,7,2,Refresher
Coco,Oct 28 '22,7,3,Refresher
Coco,Oct 28 '22,7,4,Functional
Coco,Oct 28 '22,7,5,Non-functional
Coco,Nov 2 '22,8,1,Refresher
Coco,Nov 2 '22,8,2,Refresher
Coco,Nov 2 '22,8,3,Refresher
Coco,Nov 2 '22,8,4,Non-functional
Coco,Nov 2 '22,8,5,Functional
Fay,Oct 19 '22,1,1,Refresher
Fay,Oct 19 '22,1,2,Refresher
Fay,Oct 19 '22,1,3,Refresher
Fay,Oct 19 '22,1,4,Non-functional
Fay,Oct 19 '22,1,5,Functional
Fay,Oct 21 '22,2,1,Refresher
Fay,Oct 21 '22,2,2,Refresher
Fay,Oct 21 '22,2,3,Refresher
Fay,Oct 21 '22,2,4,Functional
Fay,Oct 21 '22,2,5,Non-functional
Fay,Oct 25 '22,3,1,Refresher
Fay,Oct 25 '22,3,2,Refresher
Fay,Oct 25 '22,3,3,Refresher
Fay,Oct 25 '22,3,4,Non-functional
Fay,Oct 25 '22,3,5,Functional
Fay,Oct 28 '22,4,1,Refresher
Fay,Oct 28 '22,4,2,Refresher
Fay,Oct 28 '22,4,3,Refresher
Fay,Oct 28 '22,4,4,Functional
Fay,Oct 28 '22,4,5,Non-functional
Fay,Nov 2 '22,5,1,Refresher
Fay,Nov 2 '22,5,2,Refresher
Fay,Nov 2 '22,5,3,Refresher
Fay,Nov 2 '22,5,4,Non-functional
Fay,Nov 2 '22,5,5,Functional
Fay,Nov 8 '22,6,1,Refresher
Fay,Nov 8 '22,6,2,Refresher
Fay,Nov 8 '22,6,3,Refresher
Fay,Nov 8 '22,6,4,Functional
Fay,Nov 8 '22,6,5,Non-functional
Fay,Nov 10 '22,7,1,Refresher
Fay,Nov 10 '22,7,2,Refresher
Fay,Nov 10 '22,7,3,Refresher
Fay,Nov 10 '22,7,4,Functional
Fay,Nov 10 '22,7,5,Non-functional
Fay,Nov 15 '22,8,1,Refresher
Fay,Nov 15 '22,8,2,Refresher
Fay,Nov 15 '22,8,3,Refresher
Fay,Nov 15 '22,8,4,Non-functional
Fay,Nov 15 '22,8,5,Functional
Frowin,Oct 14 '22,1,1,Refresher
Frowin,Oct 14 '22,1,2,Refresher
Frowin,Oct 14 '22,1,3,Refresher
Frowin,Oct 14 '22,1,4,Functional
Frowin,Oct 14 '22,1,5,Non-functional
Frowin,Oct 19 '22,2,1,Refresher
Frowin,Oct 19 '22,2,2,Refresher
Frowin,Oct 19 '22,2,3,Refresher
Frowin,Oct 19 '22,2,4,Non-functional
Frowin,Oct 19 '22,2,5,Functional
Frowin,Oct 21 '22,3,1,Refresher
Frowin,Oct 21 '22,3,2,Refresher
Frowin,Oct 21 '22,3,3,Refresher
Frowin,Oct 21 '22,3,4,Non-functional
Frowin,Oct 21 '22,3,5,Functional
Frowin,Oct 25 '22,4,1,Refresher
Frowin,Oct 25 '22,4,2,Refresher
Frowin,Oct 25 '22,4,3,Refresher
Frowin,Oct 25 '22,4,4,Non-functional
Frowin,Oct 25 '22,4,5,Functional
Frowin,Oct 28 '22,5,1,Refresher
Frowin,Oct 28 '22,5,2,Refresher
Frowin,Oct 28 '22,5,3,Refresher
Frowin,Oct 28 '22,5,4,Functional
Frowin,Oct 28 '22,5,5,Non-functional
Frowin,Nov 2 '22,6,1,Refresher
Frowin,Nov 2 '22,6,2,Refresher
Frowin,Nov 2 '22,6,3,Refresher
Frowin,Nov 2 '22,6,4,Non-functional
Frowin,Nov 2 '22,6,5,Functional
Frowin,Nov 8 '22,7,1,Refresher
Frowin,Nov 8 '22,7,2,Refresher
Frowin,Nov 8 '22,7,3,Refresher
Frowin,Nov 8 '22,7,4,Functional
Frowin,Nov 8 '22,7,5,Non-functional
Frowin,Nov 10 '22,8,1,Refresher
Frowin,Nov 10 '22,8,2,Refresher
Frowin,Nov 10 '22,8,3,Refresher
Frowin,Nov 10 '22,8,4,Functional
Frowin,Nov 10 '22,8,5,Non-functional
JeanLuc,Oct 14 '22,1,1,Refresher
JeanLuc,Oct 14 '22,1,2,Refresher
JeanLuc,Oct 14 '22,1,3,Refresher
JeanLuc,Oct 14 '22,1,4,Non-functional
JeanLuc,Oct 14 '22,1,5,Functional
JeanLuc,Oct 19 '22,2,1,Refresher
JeanLuc,Oct 19 '22,2,2,Refresher
JeanLuc,Oct 19 '22,2,3,Refresher
JeanLuc,Oct 19 '22,2,4,Functional
JeanLuc,Oct 19 '22,2,5,Non-functional
JeanLuc,Oct 21 '22,3,1,Refresher
JeanLuc,Oct 21 '22,3,2,Refresher
JeanLuc,Oct 21 '22,3,3,Refresher
JeanLuc,Oct 21 '22,3,4,Functional
JeanLuc,Oct 21 '22,3,5,Non-functional
JeanLuc,Oct 25 '22,4,1,Refresher
JeanLuc,Oct 25 '22,4,2,Refresher
JeanLuc,Oct 25 '22,4,3,Refresher
JeanLuc,Oct 25 '22,4,4,Non-functional
JeanLuc,Oct 25 '22,4,5,Functional
JeanLuc,Oct 28 '22,5,1,Refresher
JeanLuc,Oct 28 '22,5,2,Refresher
JeanLuc,Oct 28 '22,5,3,Refresher
JeanLuc,Oct 28 '22,5,4,Functional
JeanLuc,Oct 28 '22,5,5,Non-functional
JeanLuc,Nov 2 '22,6,1,Refresher
JeanLuc,Nov 2 '22,6,2,Refresher
JeanLuc,Nov 2 '22,6,3,Refresher
JeanLuc,Nov 2 '22,6,4,Non-functional
JeanLuc,Nov 2 '22,6,5,Functional
JeanLuc,Nov 8 '22,7,1,Refresher
JeanLuc,Nov 8 '22,7,2,Refresher
JeanLuc,Nov 8 '22,7,3,Refresher
JeanLuc,Nov 8 '22,7,4,Non-functional
JeanLuc,Nov 8 '22,7,5,Functional
JeanLuc,Nov 10 '22,8,1,Refresher
JeanLuc,Nov 10 '22,8,2,Refresher
JeanLuc,Nov 10 '22,8,3,Refresher
JeanLuc,Nov 10 '22,8,4,Functional
JeanLuc,Nov 10 '22,8,5,Non-functional
John,Oct 4 '22,1,1,Refresher
John,Oct 4 '22,1,2,Refresher
John,Oct 4 '22,1,3,Refresher
John,Oct 4 '22,1,4,Functional
John,Oct 4 '22,1,5,Non-functional
John,Oct 7 '22,2,1,Refresher
John,Oct 7 '22,2,2,Refresher
John,Oct 7 '22,2,3,Refresher
John,Oct 7 '22,2,4,Non-functional
John,Oct 7 '22,2,5,Functional
John,Oct 11 '22,3,1,Refresher
John,Oct 11 '22,3,2,Refresher
John,Oct 11 '22,3,3,Refresher
John,Oct 11 '22,3,4,Non-functional
John,Oct 11 '22,3,5,Functional
John,Oct 14 '22,4,1,Refresher
John,Oct 14 '22,4,2,Refresher
John,Oct 14 '22,4,3,Refresher
John,Oct 14 '22,4,4,Functional
John,Oct 14 '22,4,5,Non-functional
John,Oct 19 '22,5,1,Refresher
John,Oct 19 '22,5,2,Refresher
John,Oct 19 '22,5,3,Refresher
John,Oct 19 '22,5,4,Functional
John,Oct 19 '22,5,5,Non-functional
John,Oct 21 '22,6,1,Refresher
John,Oct 21 '22,6,2,Refresher
John,Oct 21 '22,6,3,Refresher
John,Oct 21 '22,6,4,Non-functional
John,Oct 21 '22,6,5,Functional
John,Oct 25 '22,7,1,Refresher
John,Oct 25 '22,7,2,Refresher
John,Oct 25 '22,7,3,Refresher
John,Oct 25 '22,7,4,Non-functional
John,Oct 25 '22,7,5,Functional
John,Oct 28 '22,8,1,Refresher
John,Oct 28 '22,8,2,Refresher
John,Oct 28 '22,8,3,Refresher
John,Oct 28 '22,8,4,Functional
John,Oct 28 '22,8,5,Non-functional
Kermit,Oct 7 '22,2,1,Refresher
Kermit,Oct 7 '22,2,2,Refresher
Kermit,Oct 7 '22,2,3,Refresher
Kermit,Oct 7 '22,2,4,Non-functional
Kermit,Oct 7 '22,2,5,Functional
Kermit,Oct 11 '22,3,1,Refresher
Kermit,Oct 11 '22,3,2,Refresher
Kermit,Oct 11 '22,3,3,Refresher
Kermit,Oct 11 '22,3,4,Functional
Kermit,Oct 11 '22,3,5,Non-functional
Kermit,Oct 14 '22,4,1,Refresher
Kermit,Oct 14 '22,4,2,Refresher
Kermit,Oct 14 '22,4,3,Refresher
Kermit,Oct 14 '22,4,4,Non-functional
Kermit,Oct 14 '22,4,5,Functional
Kermit,Oct 19 '22,5,1,Refresher
Kermit,Oct 19 '22,5,2,Refresher
Kermit,Oct 19 '22,5,3,Refresher
Kermit,Oct 19 '22,5,4,Non-functional
Kermit,Oct 19 '22,5,5,Functional
Kermit,Oct 21 '22,6,1,Refresher
Kermit,Oct 21 '22,6,2,Refresher
Kermit,Oct 21 '22,6,3,Refresher
Kermit,Oct 21 '22,6,4,Functional
Kermit,Oct 21 '22,6,5,Non-functional
Kermit,Oct 25 '22,7,1,Refresher
Kermit,Oct 25 '22,7,2,Refresher
Kermit,Oct 25 '22,7,3,Refresher
Kermit,Oct 25 '22,7,4,Non-functional
Kermit,Oct 25 '22,7,5,Functional
Kermit,Oct 28 '22,8,1,Refresher
Kermit,Oct 28 '22,8,2,Refresher
Kermit,Oct 28 '22,8,3,Refresher
Kermit,Oct 28 '22,8,4,Functional
Kermit,Oct 28 '22,8,5,Non-functional
Kermit,Nov 17 '22,1,1,Refresher
Kermit,Nov 17 '22,1,2,Refresher
Kermit,Nov 17 '22,1,3,Refresher
Kermit,Nov 17 '22,1,4,Functional
Kermit,Nov 17 '22,1,5,Non-functional
Kiri,Oct 14 '22,1,1,Refresher
Kiri,Oct 14 '22,1,2,Refresher
Kiri,Oct 14 '22,1,3,Refresher
Kiri,Oct 14 '22,1,4,Non-functional
Kiri,Oct 14 '22,1,5,Functional
Kiri,Oct 19 '22,2,1,Refresher
Kiri,Oct 19 '22,2,2,Refresher
Kiri,Oct 19 '22,2,3,Refresher
Kiri,Oct 19 '22,2,4,Functional
Kiri,Oct 19 '22,2,5,Non-functional
Kiri,Oct 21 '22,3,1,Refresher
Kiri,Oct 21 '22,3,2,Refresher
Kiri,Oct 21 '22,3,3,Refresher
Kiri,Oct 21 '22,3,4,Non-functional
Kiri,Oct 21 '22,3,5,Functional
Kiri,Oct 25 '22,4,1,Refresher
Kiri,Oct 25 '22,4,2,Refresher
Kiri,Oct 25 '22,4,3,Refresher
Kiri,Oct 25 '22,4,4,Non-functional
Kiri,Oct 25 '22,4,5,Functional
Kiri,Oct 28 '22,5,1,Refresher
Kiri,Oct 28 '22,5,2,Refresher
Kiri,Oct 28 '22,5,3,Refresher
Kiri,Oct 28 '22,5,4,Functional
Kiri,Oct 28 '22,5,5,Non-functional
Kiri,Nov 2 '22,6,1,Refresher
Kiri,Nov 2 '22,6,2,Refresher
Kiri,Nov 2 '22,6,3,Refresher
Kiri,Nov 2 '22,6,4,Functional
Kiri,Nov 2 '22,6,5,Non-functional
Kiri,Nov 8 '22,7,1,Refresher
Kiri,Nov 8 '22,7,2,Refresher
Kiri,Nov 8 '22,7,3,Refresher
Kiri,Nov 8 '22,7,4,Non-functional
Kiri,Nov 8 '22,7,5,Functional
Kiri,Nov 10 '22,8,1,Refresher
Kiri,Nov 10 '22,8,2,Refresher
Kiri,Nov 10 '22,8,3,Refresher
Kiri,Nov 10 '22,8,4,Functional
Kiri,Nov 10 '22,8,5,Non-functional
Lilly,Oct 11 '22,1,1,Refresher
Lilly,Oct 11 '22,1,2,Refresher
Lilly,Oct 11 '22,1,3,Refresher
Lilly,Oct 11 '22,1,4,Non-functional
Lilly,Oct 11 '22,1,5,Functional
Lilly,Oct 14 '22,2,1,Refresher
Lilly,Oct 14 '22,2,2,Refresher
Lilly,Oct 14 '22,2,3,Refresher
Lilly,Oct 14 '22,2,4,Functional
Lilly,Oct 14 '22,2,5,Non-functional
Lilly,Oct 19 '22,3,1,Refresher
Lilly,Oct 19 '22,3,2,Refresher
Lilly,Oct 19 '22,3,3,Refresher
Lilly,Oct 19 '22,3,4,Functional
Lilly,Oct 19 '22,3,5,Non-functional
Lilly,Oct 21 '22,4,1,Refresher
Lilly,Oct 21 '22,4,2,Refresher
Lilly,Oct 21 '22,4,3,Refresher
Lilly,Oct 21 '22,4,4,Functional
Lilly,Oct 21 '22,4,5,Non-functional
Lilly,Oct 25 '22,5,1,Refresher
Lilly,Oct 25 '22,5,2,Refresher
Lilly,Oct 25 '22,5,3,Refresher
Lilly,Oct 25 '22,5,4,Non-functional
Lilly,Oct 25 '22,5,5,Functional
Lilly,Oct 28 '22,6,1,Refresher
Lilly,Oct 28 '22,6,2,Refresher
Lilly,Oct 28 '22,6,3,Refresher
Lilly,Oct 28 '22,6,4,Functional
Lilly,Oct 28 '22,6,5,Non-functional
Lilly,Nov 2 '22,7,1,Refresher
Lilly,Nov 2 '22,7,2,Refresher
Lilly,Nov 2 '22,7,3,Refresher
Lilly,Nov 2 '22,7,4,Non-functional
Lilly,Nov 2 '22,7,5,Functional
Lilly,Nov 8 '22,8,1,Refresher
Lilly,Nov 8 '22,8,2,Refresher
Lilly,Nov 8 '22,8,3,Refresher
Lilly,Nov 8 '22,8,4,Non-functional
Lilly,Nov 8 '22,8,5,Functional
Mali,Nov 22 '22,1,1,Refresher
Mali,Nov 22 '22,1,2,Refresher
Mali,Nov 22 '22,1,3,Refresher
Mali,Nov 22 '22,1,4,Non-functional
Mali,Nov 22 '22,1,5,Functional
Mali,Nov 25 '22,2,1,Refresher
Mali,Nov 25 '22,2,2,Refresher
Mali,Nov 25 '22,2,3,Refresher
Mali,Nov 25 '22,2,4,Functional
Mali,Nov 25 '22,2,5,Non-functional
Mali,Nov 29 '22,3,1,Refresher
Mali,Nov 29 '22,3,2,Refresher
Mali,Nov 29 '22,3,3,Refresher
Mali,Nov 29 '22,3,4,Non-functional
Mali,Nov 29 '22,3,5,Functional
Mali,Dec 1 '22,4,1,Refresher
