"","Subject","Session","Trial","Condition","count_peeking","peeking_binary","Proportionpeeking"
"1","Coco",1,4,"Functional",0,0,0
"2","Coco",1,5,"Non-functional",0,0,0
"3","Coco",2,4,"Non-functional",0,0,0
"4","Coco",2,5,"Functional",0,0,0
"5","Coco",3,4,"Functional",0,0,0
"6","Coco",3,5,"Non-functional",0,0,0
"7","Coco",4,4,"Functional",0,0,0
"8","Coco",4,5,"Non-functional",0,0,0
"9","Coco",5,4,"Non-functional",1,1,0.0400445240810121
"10","Coco",5,5,"Functional",0,0,0
"11","Coco",6,4,"Non-functional",0,0,0
"12","Coco",6,5,"Functional",0,0,0
"13","Coco",7,4,"Functional",0,0,0
"14","Coco",7,5,"Non-functional",0,0,0
"15","Coco",8,4,"Non-functional",0,0,0
"16","Coco",8,5,"Functional",1,1,0.0196300490751227
"17","Fay",1,4,"Non-functional",0,0,0
"18","Fay",1,5,"Functional",1,1,0.0620715075562108
"19","Fay",2,4,"Functional",0,0,0
"20","Fay",2,5,"Non-functional",1,1,0.0238108981759409
"21","Fay",3,4,"Non-functional",0,0,0
"22","Fay",3,5,"Functional",0,0,0
"23","Fay",4,4,"Functional",0,0,0
"24","Fay",4,5,"Non-functional",0,0,0
"25","Fay",5,4,"Non-functional",0,0,0
"26","Fay",5,5,"Functional",0,0,0
"27","Fay",6,4,"Functional",0,0,0
"28","Fay",6,5,"Non-functional",0,0,0
"29","Fay",7,4,"Functional",0,0,0
"30","Fay",7,5,"Non-functional",1,1,0.0386985810520281
"31","Fay",8,4,"Non-functional",0,0,0
"32","Fay",8,5,"Functional",0,0,0
"33","Frowin",1,4,"Functional",1,1,0.0475551761980246
"34","Frowin",1,5,"Non-functional",0,0,0
"35","Frowin",2,4,"Non-functional",0,0,0
"36","Frowin",2,5,"Functional",0,0,0
"37","Frowin",3,4,"Non-functional",0,0,0
"38","Frowin",3,5,"Functional",0,0,0
"39","Frowin",4,4,"Non-functional",2,1,0.0943531916117712
"40","Frowin",4,5,"Functional",2,1,0.0555149744338933
"41","Frowin",5,4,"Functional",0,0,0
"42","Frowin",5,5,"Non-functional",1,1,0.0316547652168537
"43","Frowin",6,4,"Non-functional",0,0,0
"44","Frowin",6,5,"Functional",1,1,0.0298987928301427
"45","Frowin",7,4,"Functional",1,1,0.0218093699515347
"46","Frowin",7,5,"Non-functional",0,0,0
"47","Frowin",8,4,"Functional",0,0,0
"48","Frowin",8,5,"Non-functional",0,0,0
"49","JeanLuc",1,4,"Non-functional",0,0,0
"50","JeanLuc",1,5,"Functional",0,0,0
"51","JeanLuc",2,4,"Functional",0,0,0
"52","JeanLuc",2,5,"Non-functional",0,0,0
"53","JeanLuc",3,4,"Functional",0,0,0
"54","JeanLuc",3,5,"Non-functional",0,0,0
"55","JeanLuc",4,4,"Non-functional",0,0,0
"56","JeanLuc",4,5,"Functional",0,0,0
"57","JeanLuc",5,4,"Functional",1,1,0.0313980587497119
"58","JeanLuc",5,5,"Non-functional",0,0,0
"59","JeanLuc",6,4,"Non-functional",1,1,0.0376064261861067
"60","JeanLuc",6,5,"Functional",0,0,0
"61","JeanLuc",7,4,"Non-functional",0,0,0
"62","JeanLuc",7,5,"Functional",0,0,0
"63","JeanLuc",8,4,"Functional",1,1,0.00938161739083818
"64","JeanLuc",8,5,"Non-functional",0,0,0
"65","John",1,4,"Functional",0,0,0
"66","John",1,5,"Non-functional",0,0,0
"67","John",2,4,"Non-functional",1,1,0.0395039995858034
"68","John",2,5,"Functional",1,1,0.0268433874969268
"69","John",3,4,"Non-functional",1,1,0.105526206753677
"70","John",3,5,"Functional",2,1,0.1001178133836
"71","John",4,4,"Functional",2,1,0.130304025878845
"72","John",4,5,"Non-functional",0,0,0
"73","John",5,4,"Functional",2,1,0.039289790741915
"74","John",5,5,"Non-functional",1,1,0.0684411764705882
"75","John",6,4,"Non-functional",0,0,0
"76","John",6,5,"Functional",1,1,0.0648577101257446
"77","John",7,4,"Non-functional",0,0,0
"78","John",7,5,"Functional",1,1,0.0785046728971963
"79","John",8,4,"Functional",1,1,0.103213680643795
"80","John",8,5,"Non-functional",0,0,0
"81","Kermit",1,4,"Functional",0,0,0
"82","Kermit",1,5,"Non-functional",1,1,0.0280525616418131
"83","Kermit",2,4,"Non-functional",1,1,0.024491949056746
"84","Kermit",2,5,"Functional",0,0,0
"85","Kermit",3,4,"Functional",0,0,0
"86","Kermit",3,5,"Non-functional",1,1,0.0137492964541288
"87","Kermit",4,4,"Non-functional",0,0,0
"88","Kermit",4,5,"Functional",0,0,0
"89","Kermit",5,4,"Non-functional",0,0,0
"90","Kermit",5,5,"Functional",0,0,0
"91","Kermit",6,4,"Functional",0,0,0
"92","Kermit",6,5,"Non-functional",0,0,0
"93","Kermit",7,4,"Non-functional",0,0,0
"94","Kermit",7,5,"Functional",0,0,0
"95","Kermit",8,4,"Functional",1,1,0.0399239543726236
"96","Kermit",8,5,"Non-functional",0,0,0
"97","Kiri",1,4,"Non-functional",0,0,0
"98","Kiri",1,5,"Functional",3,1,0.0454397922752353
"99","Kiri",2,4,"Functional",2,1,0.0649481930755623
"100","Kiri",2,5,"Non-functional",0,0,0
"101","Kiri",3,4,"Non-functional",2,1,0.0962782008909326
"102","Kiri",3,5,"Functional",0,0,0
"103","Kiri",4,4,"Non-functional",3,1,0.0864529586123614
"104","Kiri",4,5,"Functional",1,1,0.0342231348391513
"105","Kiri",5,4,"Functional",0,0,0
"106","Kiri",5,5,"Non-functional",0,0,0
"107","Kiri",6,4,"Functional",0,0,0
"108","Kiri",6,5,"Non-functional",0,0,0
"109","Kiri",7,4,"Non-functional",1,1,0.0207871396895787
"110","Kiri",7,5,"Functional",1,1,0.0145149166688266
"111","Kiri",8,4,"Functional",0,0,0
"112","Kiri",8,5,"Non-functional",0,0,0
"113","Lilly",1,4,"Non-functional",0,0,0
"114","Lilly",1,5,"Functional",0,0,0
"115","Lilly",2,4,"Functional",0,0,0
"116","Lilly",2,5,"Non-functional",0,0,0
"117","Lilly",3,4,"Functional",0,0,0
"118","Lilly",3,5,"Non-functional",0,0,0
"119","Lilly",4,4,"Functional",0,0,0
"120","Lilly",4,5,"Non-functional",0,0,0
"121","Lilly",5,4,"Non-functional",0,0,0
"122","Lilly",5,5,"Functional",0,0,0
"123","Lilly",6,4,"Functional",0,0,0
"124","Lilly",6,5,"Non-functional",0,0,0
"125","Lilly",7,4,"Non-functional",0,0,0
"126","Lilly",7,5,"Functional",0,0,0
"127","Lilly",8,4,"Non-functional",0,0,0
"128","Lilly",8,5,"Functional",0,0,0
"129","Mali",1,4,"Non-functional",1,1,0.0303657694962043
"130","Mali",1,5,"Functional",1,1,0.0343769183548189
"131","Mali",2,4,"Functional",0,0,0
"132","Mali",2,5,"Non-functional",0,0,0
"133","Mali",3,4,"Non-functional",1,1,0.046583850931677
"134","Mali",3,5,"Functional",0,0,0
"135","Mali",4,4,"Functional",0,0,0
"136","Mali",4,5,"Non-functional",0,0,0
"137","Mali",5,4,"Functional",0,0,0
"138","Mali",5,5,"Non-functional",0,0,0
"139","Mali",6,4,"Non-functional",0,0,0
"140","Mali",6,5,"Functional",0,0,0
"141","Mali",7,4,"Non-functional",1,1,0.0285542053999175
"142","Mali",7,5,"Functional",0,0,0
"143","Mali",8,4,"Functional",0,0,0
"144","Mali",8,5,"Non-functional",0,0,0
"145","Odo",1,4,"Non-functional",3,1,0.0959441177282642
"146","Odo",1,5,"Functional",0,0,0
"147","Odo",2,4,"Functional",1,1,0.136281312477949
"148","Odo",2,5,"Non-functional",0,0,0
"149","Odo",3,4,"Non-functional",2,1,0.0689900232335657
"150","Odo",3,5,"Functional",0,0,0
"151","Odo",4,4,"Non-functional",2,1,0.085293009740085
"152","Odo",4,5,"Functional",0,0,0
"153","Odo",5,4,"Functional",1,1,0.0245412670844975
"154","Odo",5,5,"Non-functional",0,0,0
"155","Odo",6,4,"Non-functional",0,0,0
"156","Odo",6,5,"Functional",0,0,0
"157","Odo",7,4,"Functional",0,0,0
"158","Odo",7,5,"Non-functional",0,0,0
"159","Odo",8,4,"Functional",0,0,0
"160","Odo",8,5,"Non-functional",1,1,0.0101991257892181
"161","Paul",1,4,"Non-functional",0,0,0
"162","Paul",1,5,"Functional",1,1,0.0468409069348259
"163","Paul",2,4,"Functional",1,1,0.0161304676723179
"164","Paul",2,5,"Non-functional",0,0,0
"165","Paul",3,4,"Non-functional",1,1,0.042719249862107
"166","Paul",3,5,"Functional",1,1,0.0197941409342835
"167","Paul",4,4,"Non-functional",1,1,0.0297543681944796
"168","Paul",4,5,"Functional",1,1,0.039058306904123
"169","Paul",5,4,"Non-functional",2,1,0.0927769175944358
"170","Paul",5,5,"Functional",3,1,0.0698697511183609
"171","Paul",6,4,"Functional",3,1,0.202307225258045
"172","Paul",6,5,"Non-functional",2,1,0.0916468448299986
"173","Paul",7,4,"Functional",2,1,0.0817185972476374
"174","Paul",7,5,"Non-functional",1,1,0.118788082061602
"175","Paul",8,4,"Functional",0,0,0
"176","Paul",8,5,"Non-functional",0,0,0
"177","Pick",1,4,"Non-functional",0,0,0
"178","Pick",1,5,"Functional",1,1,0.0682575513275288
"179","Pick",2,4,"Functional",1,1,0.0525199050440117
"180","Pick",2,5,"Non-functional",0,0,0
"181","Pick",3,4,"Functional",0,0,0
"182","Pick",3,5,"Non-functional",0,0,0
"183","Pick",4,4,"Non-functional",1,1,0.07457345848675
"184","Pick",4,5,"Functional",0,0,0
"185","Pick",5,4,"Non-functional",0,0,0
"186","Pick",5,5,"Functional",1,1,0.0381335400717124
"187","Pick",6,4,"Non-functional",0,0,0
"188","Pick",6,5,"Functional",0,0,0
"189","Pick",7,4,"Functional",0,0,0
"190","Pick",7,5,"Non-functional",2,1,0.0808174910477743
"191","Pick",8,4,"Functional",1,1,0.0412074021640206
"192","Pick",8,5,"Non-functional",0,0,0
"193","Plume",1,4,"Functional",0,0,0
"194","Plume",1,5,"Non-functional",0,0,0
"195","Plume",2,4,"Non-functional",1,1,0.0347474747474747
"196","Plume",2,5,"Functional",1,1,0.0654313839027215
"197","Plume",3,4,"Functional",2,1,0.0540832752696956
"198","Plume",3,5,"Non-functional",1,1,0.0300281428454329
"199","Plume",4,4,"Functional",1,1,0.07942221056897
"200","Plume",4,5,"Non-functional",0,0,0
"201","Plume",5,4,"Non-functional",0,0,0
"202","Plume",5,5,"Functional",0,0,0
"203","Plume",6,4,"Non-functional",0,0,0
"204","Plume",6,5,"Functional",0,0,0
"205","Plume",7,4,"Functional",0,0,0
"206","Plume",7,5,"Non-functional",0,0,0
"207","Plume",8,4,"Non-functional",0,0,0
"208","Plume",8,5,"Functional",0,0,0
"209","Roku",1,4,"Non-functional",1,1,0.0802153078639884
"210","Roku",1,5,"Functional",0,0,0
"211","Roku",2,4,"Functional",0,0,0
"212","Roku",2,5,"Non-functional",3,1,0.0485195322219458
"213","Roku",3,4,"Functional",0,0,0
"214","Roku",3,5,"Non-functional",1,1,0.0255622895622896
"215","Roku",4,4,"Functional",0,0,0
"216","Roku",4,5,"Non-functional",1,1,0.0389440596400456
"217","Roku",5,4,"Non-functional",3,1,0.156054080575696
"218","Roku",5,5,"Functional",0,0,0
"219","Roku",6,4,"Non-functional",0,0,0
"220","Roku",6,5,"Functional",1,1,0.0279160411893287
"221","Roku",7,4,"Functional",1,1,0.0488850986982367
"222","Roku",7,5,"Non-functional",1,1,0.0568804824561404
"223","Roku",8,4,"Non-functional",1,1,0.220656314093173
"224","Roku",8,5,"Functional",0,0,0
"225","Skipper",1,4,"Functional",0,0,0
"226","Skipper",1,5,"Non-functional",0,0,0
"227","Skipper",2,4,"Non-functional",0,0,0
"228","Skipper",2,5,"Functional",0,0,0
"229","Skipper",3,4,"Non-functional",0,0,0
"230","Skipper",3,5,"Functional",0,0,0
"231","Skipper",4,4,"Functional",0,0,0
"232","Skipper",4,5,"Non-functional",0,0,0
"233","Skipper",5,4,"Non-functional",0,0,0
"234","Skipper",5,5,"Functional",0,0,0
"235","Skipper",6,4,"Functional",0,0,0
"236","Skipper",6,5,"Non-functional",0,0,0
"237","Skipper",7,4,"Non-functional",0,0,0
"238","Skipper",7,5,"Functional",0,0,0
"239","Skipper",8,4,"Functional",0,0,0
"240","Skipper",8,5,"Non-functional",0,0,0
"241","Sunny",1,4,"Non-functional",1,1,0.0380267794221283
"242","Sunny",1,5,"Functional",0,0,0
"243","Sunny",2,4,"Functional",0,0,0
"244","Sunny",2,5,"Non-functional",0,0,0
"245","Sunny",3,4,"Non-functional",0,0,0
"246","Sunny",3,5,"Functional",0,0,0
"247","Sunny",4,4,"Functional",0,0,0
"248","Sunny",4,5,"Non-functional",0,0,0
"249","Sunny",5,4,"Functional",0,0,0
"250","Sunny",5,5,"Non-functional",0,0,0
"251","Sunny",6,4,"Non-functional",0,0,0
"252","Sunny",6,5,"Functional",0,0,0
"253","Sunny",7,4,"Functional",0,0,0
"254","Sunny",7,5,"Non-functional",0,0,0
"255","Sunny",8,4,"Non-functional",0,0,0
"256","Sunny",8,5,"Functional",0,0,0
"257","Tai",1,4,"Non-functional",0,0,0
"258","Tai",1,5,"Functional",0,0,0
"259","Tai",2,4,"Functional",1,1,0.0570825978313198
"260","Tai",2,5,"Non-functional",0,0,0
"261","Tai",3,4,"Functional",0,0,0
"262","Tai",3,5,"Non-functional",0,0,0
"263","Tai",4,4,"Functional",0,0,0
"264","Tai",4,5,"Non-functional",0,0,0
"265","Tai",5,4,"Non-functional",0,0,0
"266","Tai",5,5,"Functional",0,0,0
"267","Tai",6,4,"Functional",0,0,0
"268","Tai",6,5,"Non-functional",0,0,0
"269","Tai",7,4,"Non-functional",0,0,0
"270","Tai",7,5,"Functional",0,0,0
"271","Tai",8,4,"Non-functional",0,0,0
"272","Tai",8,5,"Functional",1,1,0.10870849580527
