"","subject","condition","trial_overall","peeking_count","peeking_response_binary","prop_peeking"
"1","ES101","Functional",1,1,1,0.135483870967742
"2","ES101","Functional",2,0,0,0
"3","ES101","Functional",3,0,0,0
"4","ES101","Functional",4,0,0,0
"5","ES101","Non-functional",5,0,0,0
"6","ES101","Non-functional",6,0,0,0
"7","ES101","Non-functional",7,0,0,0
"8","ES101","Non-functional",8,0,0,0
"9","ES102","Functional",5,0,0,0
"10","ES102","Functional",6,0,0,0
"11","ES102","Functional",7,0,0,0
"12","ES102","Functional",8,0,0,0
"13","ES102","Non-functional",1,1,1,0.115837744225187
"14","ES102","Non-functional",2,0,0,0
"15","ES102","Non-functional",3,0,0,0
"16","ES102","Non-functional",4,0,0,0
"17","ES103","Functional",1,0,0,0
"18","ES103","Functional",2,0,0,0
"19","ES103","Functional",3,0,0,0
"20","ES103","Functional",4,0,0,0
"21","ES103","Non-functional",5,0,0,0
"22","ES103","Non-functional",6,0,0,0
"23","ES103","Non-functional",7,0,0,0
"24","ES103","Non-functional",8,0,0,0
"25","ES104","Functional",5,0,0,0
"26","ES104","Functional",6,0,0,0
"27","ES104","Functional",7,0,0,0
"28","ES104","Functional",8,0,0,0
"29","ES104","Non-functional",1,0,0,0
"30","ES104","Non-functional",2,0,0,0
"31","ES104","Non-functional",3,0,0,0
"32","ES104","Non-functional",4,0,0,0
"33","ES106","Functional",5,0,0,0
"34","ES106","Functional",6,0,0,0
"35","ES106","Functional",7,0,0,0
"36","ES106","Functional",8,0,0,0
"37","ES106","Non-functional",1,0,0,0
"38","ES106","Non-functional",2,0,0,0
"39","ES106","Non-functional",3,0,0,0
"40","ES106","Non-functional",4,0,0,0
"41","ES108","Functional",5,1,1,0.295373913043478
"42","ES108","Functional",6,2,1,0.698175673345519
"43","ES108","Functional",7,0,0,0
"44","ES108","Functional",8,0,0,0
"45","ES108","Non-functional",1,0,0,0
"46","ES108","Non-functional",2,0,0,0
"47","ES108","Non-functional",3,0,0,0
"48","ES108","Non-functional",4,0,0,0
"49","ES110","Functional",1,0,0,0
"50","ES110","Functional",2,0,0,0
"51","ES110","Functional",3,0,0,0
"52","ES110","Functional",4,0,0,0
"53","ES110","Non-functional",5,0,0,0
"54","ES110","Non-functional",6,0,0,0
"55","ES110","Non-functional",7,0,0,0
"56","ES110","Non-functional",8,0,0,0
"57","ES111","Functional",5,0,0,0
"58","ES111","Functional",6,0,0,0
"59","ES111","Functional",7,0,0,0
"60","ES111","Functional",8,0,0,0
"61","ES111","Non-functional",1,0,0,0
"62","ES111","Non-functional",2,1,1,0.0523896413783423
"63","ES111","Non-functional",3,0,0,0
"64","ES111","Non-functional",4,0,0,0
"65","ES112","Functional",1,0,0,0
"66","ES112","Functional",2,0,0,0
"67","ES112","Functional",3,0,0,0
"68","ES112","Functional",4,0,0,0
"69","ES112","Non-functional",5,1,1,0.0255057442557443
"70","ES112","Non-functional",6,0,0,0
"71","ES112","Non-functional",7,1,1,0.143379688740122
"72","ES112","Non-functional",8,0,0,0
"73","ES113","Functional",5,0,0,0
"74","ES113","Functional",6,0,0,0
"75","ES113","Functional",7,0,0,0
"76","ES113","Functional",8,0,0,0
"77","ES113","Non-functional",1,1,1,0.0368203628152824
"78","ES113","Non-functional",2,0,0,0
"79","ES113","Non-functional",3,0,0,0
"80","ES113","Non-functional",4,0,0,0
"81","ES114","Functional",1,1,1,0.405889055204307
"82","ES114","Functional",2,0,0,0
"83","ES114","Functional",3,0,0,0
"84","ES114","Functional",4,0,0,0
"85","ES114","Non-functional",5,0,0,0
"86","ES114","Non-functional",6,0,0,0
"87","ES114","Non-functional",7,0,0,0
"88","ES114","Non-functional",8,0,0,0
"89","ES115","Functional",5,0,0,0
"90","ES115","Functional",6,0,0,0
"91","ES115","Functional",7,1,1,0.27819089006921
"92","ES115","Functional",8,0,0,0
"93","ES115","Non-functional",1,1,1,0.0924152486479356
"94","ES115","Non-functional",2,0,0,0
"95","ES115","Non-functional",3,1,1,0.149885321100917
"96","ES115","Non-functional",4,0,0,0
"97","ES116","Functional",1,0,0,0
"98","ES116","Functional",2,0,0,0
"99","ES116","Functional",3,0,0,0
"100","ES116","Functional",4,0,0,0
"101","ES116","Non-functional",5,1,1,0.0519144476106253
"102","ES116","Non-functional",6,0,0,0
"103","ES116","Non-functional",7,0,0,0
"104","ES116","Non-functional",8,1,1,0.148329287448236
"105","ES117","Functional",1,0,0,0
"106","ES117","Functional",2,0,0,0
"107","ES117","Functional",3,0,0,0
"108","ES117","Functional",4,0,0,0
"109","ES117","Non-functional",5,0,0,0
"110","ES117","Non-functional",6,0,0,0
"111","ES117","Non-functional",7,0,0,0
"112","ES117","Non-functional",8,0,0,0
"113","ES118","Functional",5,0,0,0
"114","ES118","Functional",6,0,0,0
"115","ES118","Functional",7,1,1,0.074341872270098
"116","ES118","Functional",8,0,0,0
"117","ES118","Non-functional",1,0,0,0
"118","ES118","Non-functional",2,0,0,0
"119","ES118","Non-functional",3,1,1,0.763563962170234
"120","ES118","Non-functional",4,0,0,0
"121","ES119","Functional",1,0,0,0
"122","ES119","Functional",2,0,0,0
"123","ES119","Functional",3,0,0,0
"124","ES119","Functional",4,0,0,0
"125","ES119","Non-functional",5,0,0,0
"126","ES119","Non-functional",6,0,0,0
"127","ES119","Non-functional",7,0,0,0
"128","ES119","Non-functional",8,0,0,0
"129","ES120","Functional",1,0,0,0
"130","ES120","Functional",2,0,0,0
"131","ES120","Functional",3,0,0,0
"132","ES120","Functional",4,0,0,0
"133","ES120","Non-functional",5,0,0,0
"134","ES120","Non-functional",6,0,0,0
"135","ES120","Non-functional",7,0,0,0
"136","ES120","Non-functional",8,0,0,0
"137","ES122","Functional",1,0,0,0
"138","ES122","Functional",2,0,0,0
"139","ES122","Functional",3,0,0,0
"140","ES122","Functional",4,0,0,0
"141","ES122","Non-functional",5,0,0,0
"142","ES122","Non-functional",6,0,0,0
"143","ES122","Non-functional",7,0,0,0
"144","ES122","Non-functional",8,0,0,0
"145","ES123","Functional",1,0,0,0
"146","ES123","Functional",2,0,0,0
"147","ES123","Functional",3,0,0,0
"148","ES123","Functional",4,0,0,0
"149","ES123","Non-functional",5,0,0,0
"150","ES123","Non-functional",6,0,0,0
"151","ES123","Non-functional",7,0,0,0
"152","ES123","Non-functional",8,0,0,0
"153","ES124","Functional",1,0,0,0
"154","ES124","Functional",2,0,0,0
"155","ES124","Functional",3,0,0,0
"156","ES124","Functional",4,1,1,0.0167114824773884
"157","ES124","Non-functional",5,0,0,0
"158","ES124","Non-functional",6,0,0,0
"159","ES124","Non-functional",7,0,0,0
"160","ES124","Non-functional",8,1,1,0.0544726955953612
"161","ES126","Functional",1,0,0,0
"162","ES126","Functional",2,0,0,0
"163","ES126","Functional",3,0,0,0
"164","ES126","Functional",4,0,0,0
"165","ES126","Non-functional",5,0,0,0
"166","ES126","Non-functional",6,0,0,0
"167","ES126","Non-functional",7,0,0,0
"168","ES126","Non-functional",8,0,0,0
"169","ES127","Functional",1,0,0,0
"170","ES127","Functional",2,0,0,0
"171","ES127","Functional",3,0,0,0
"172","ES127","Functional",4,0,0,0
"173","ES127","Non-functional",5,0,0,0
"174","ES127","Non-functional",6,0,0,0
"175","ES127","Non-functional",7,0,0,0
"176","ES127","Non-functional",8,0,0,0
"177","ES128","Functional",1,0,0,0
"178","ES128","Functional",2,0,0,0
"179","ES128","Functional",3,0,0,0
"180","ES128","Functional",4,0,0,0
"181","ES128","Non-functional",5,0,0,0
"182","ES128","Non-functional",6,0,0,0
"183","ES128","Non-functional",7,0,0,0
"184","ES128","Non-functional",8,0,0,0
"185","ES129","Functional",5,0,0,0
"186","ES129","Functional",6,0,0,0
"187","ES129","Functional",7,0,0,0
"188","ES129","Functional",8,0,0,0
"189","ES129","Non-functional",1,0,0,0
"190","ES129","Non-functional",2,0,0,0
"191","ES129","Non-functional",3,0,0,0
"192","ES129","Non-functional",4,1,1,0.141922421668601
"193","ES130","Functional",1,0,0,0
"194","ES130","Functional",2,0,0,0
"195","ES130","Functional",3,0,0,0
"196","ES130","Functional",4,0,0,0
"197","ES130","Non-functional",5,0,0,0
"198","ES130","Non-functional",6,0,0,0
"199","ES130","Non-functional",7,0,0,0
"200","ES130","Non-functional",8,0,0,0
"201","ES132","Functional",1,0,0,0
"202","ES132","Functional",2,0,0,0
"203","ES132","Functional",3,0,0,0
"204","ES132","Functional",4,0,0,0
"205","ES132","Non-functional",5,0,0,0
"206","ES132","Non-functional",6,0,0,0
"207","ES132","Non-functional",7,0,0,0
"208","ES132","Non-functional",8,0,0,0
"209","ES133","Functional",1,0,0,0
"210","ES133","Functional",2,0,0,0
"211","ES133","Functional",3,0,0,0
"212","ES133","Functional",4,0,0,0
"213","ES133","Non-functional",5,0,0,0
"214","ES133","Non-functional",6,0,0,0
"215","ES133","Non-functional",7,0,0,0
"216","ES133","Non-functional",8,0,0,0
"217","ES134","Functional",5,0,0,0
"218","ES134","Functional",6,0,0,0
"219","ES134","Functional",7,0,0,0
"220","ES134","Functional",8,0,0,0
"221","ES134","Non-functional",1,0,0,0
"222","ES134","Non-functional",2,0,0,0
"223","ES134","Non-functional",3,0,0,0
"224","ES134","Non-functional",4,0,0,0
"225","ES135","Functional",1,1,1,0.055003168637049
"226","ES135","Functional",2,0,0,0
"227","ES135","Functional",3,0,0,0
"228","ES135","Functional",4,0,0,0
"229","ES135","Non-functional",5,1,1,0.134582132564841
"230","ES135","Non-functional",6,0,0,0
"231","ES135","Non-functional",7,0,0,0
"232","ES135","Non-functional",8,0,0,0
"233","ES136","Functional",5,0,0,0
"234","ES136","Functional",6,0,0,0
"235","ES136","Functional",7,0,0,0
"236","ES136","Functional",8,0,0,0
"237","ES136","Non-functional",1,1,1,0.072291250325832
"238","ES136","Non-functional",2,0,0,0
"239","ES136","Non-functional",3,1,1,0.0857175819104753
"240","ES136","Non-functional",4,0,0,0
"241","Es125","Functional",5,0,0,0
"242","Es125","Functional",6,0,0,0
"243","Es125","Functional",7,0,0,0
"244","Es125","Functional",8,0,0,0
"245","Es125","Non-functional",1,1,1,0.0312197256164255
"246","Es125","Non-functional",2,0,0,0
"247","Es125","Non-functional",3,0,0,0
"248","Es125","Non-functional",4,0,0,0
